,Goal,Shot,Blocked Shot,Faceoff,Takeaway,Giveaway,Hit,Missed Shot,Penalty,Stoppage,Period Start,Official Challenge,won
497,0,0,1,2,1,0,0,0,0,0,,,no
498,0,0,0,1,0,2,0,0,0,0,,,no
499,0,1,0,2,0,0,1,0,0,0,,,no
500,0,2,0,0,0,0,1,0,0,0,,,no
501,0,1,1,1,0,0,1,0,0,0,,,yes
502,1,2,0,4,0,0,0,2,0,0,,,no
503,0,0,2,0,0,1,2,0,0,0,,,yes
504,0,0,1,0,0,0,0,0,0,0,,,yes
505,0,1,1,1,0,0,0,0,0,0,,,no
506,0,1,3,1,0,1,0,0,0,0,,,yes
507,0,3,0,3,1,0,1,0,0,0,,,no
508,1,2,0,1,0,0,1,0,0,0,0.0,,no
509,0,2,1,2,1,0,0,1,0,0,,,yes
510,0,1,0,1,0,0,0,0,0,0,,,yes
511,0,1,0,1,0,0,1,0,0,0,,,no
512,0,0,0,2,0,0,1,1,1,0,,,yes
