Goal,Shot,Blocked Shot,Faceoff,Takeaway,Giveaway,Hit,Missed Shot,Penalty,won
1,2,-2,-9,5,1,-9,0,-2,yes
1,12,-9,-1,3,6,15,0,-3,yes
0,8,1,-17,-3,1,-4,0,1,no
1,-5,-2,-12,2,1,-6,5,-1,yes
2,-1,9,-7,9,7,-4,2,-2,yes
-1,1,6,-9,8,3,-3,-7,1,no
1,-9,0,-6,-2,4,1,1,-3,yes
-4,4,-2,-1,1,2,18,-4,0,no
9,-6,2,6,0,9,-11,-8,-1,yes
0,1,-14,-8,0,3,5,8,0,no
1,-6,10,6,1,7,10,-7,0,yes
-5,7,-8,-8,3,4,1,1,1,no
1,3,-7,7,0,-4,0,7,-2,yes
2,1,2,10,-1,5,-12,0,-1,yes
-3,-11,1,-11,0,1,2,0,4,no
0,-6,7,8,1,7,7,-3,0,no
0,-5,-7,3,1,-2,-5,2,-2,no
1,-1,0,7,3,-3,10,2,2,yes
-1,13,2,-2,6,3,-6,5,-1,no
2,-17,-4,-1,1,1,-14,2,2,yes
1,-1,0,9,4,-4,10,-3,0,yes
4,33,-2,7,5,6,-2,2,2,yes
0,5,-13,11,-2,3,-9,2,1,yes
-2,-6,-8,-10,2,16,-1,6,-2,no
0,-17,-5,4,5,0,8,-3,2,yes
-1,2,-6,12,-3,9,17,4,-1,no
-1,9,-24,-1,4,-3,-1,2,0,no
-2,-7,-2,7,0,6,7,-4,1,no
0,-9,2,-15,1,-1,-6,1,2,no
-2,-7,5,-8,4,1,-6,-1,-1,no
5,0,-2,9,2,-6,2,2,1,yes
1,3,-7,2,-2,-2,-11,0,1,no
3,-7,14,3,-2,1,3,1,1,yes
1,27,-12,1,2,0,1,-4,-3,yes
-3,-9,5,-9,1,5,2,1,2,no
0,18,-8,2,3,-3,2,9,0,no
2,6,1,-6,7,0,-13,9,-1,yes
1,4,-15,0,6,5,-1,3,0,yes
6,3,1,6,3,4,0,1,1,yes
-2,11,-6,9,2,-2,-3,1,2,no
-2,1,-3,0,3,2,-6,3,3,no
2,-8,9,12,1,1,1,-7,2,yes
1,16,-4,-8,3,5,3,6,-1,yes
-3,-4,1,0,-2,1,11,2,-1,no
4,9,-9,-3,0,11,-9,1,-2,yes
0,-14,8,-11,2,8,0,-9,-1,yes
-3,-3,3,-4,5,7,4,0,0,no
2,0,16,-6,-2,16,6,8,-2,yes
-3,-6,14,-1,-1,2,14,-11,1,no
1,-14,1,7,2,-4,16,3,3,yes
-2,-2,3,5,-1,3,7,-2,1,no
1,-1,-1,2,0,0,-17,2,0,yes
2,7,4,-2,1,-2,-3,1,0,yes
-1,-9,1,-2,-1,1,7,1,-1,no
0,0,5,1,-1,7,10,4,-1,no
3,9,-10,-1,2,5,-13,2,0,yes
0,-5,-3,-11,1,2,-3,7,-1,no
1,2,10,8,0,-5,9,-5,0,yes
-4,7,-11,3,5,10,4,4,1,no
1,-2,1,-15,-4,9,-4,-8,-4,yes
2,-21,3,1,-1,-3,5,-2,0,yes
0,5,-3,7,-1,0,-4,9,-2,no
-4,23,-10,-1,4,2,6,-3,1,no
1,-2,3,-1,-2,6,17,0,1,yes
-1,3,0,-2,-1,10,10,6,-1,no
2,-21,11,-3,3,1,-3,-6,1,yes
5,3,-1,-1,-1,-2,0,1,0,yes
0,-6,10,18,-1,1,13,-4,0,no
0,13,-2,5,2,1,-1,3,-3,yes
4,7,8,-8,5,0,-4,4,-3,yes
3,2,4,-4,4,0,2,-5,1,yes
-1,14,-2,11,-5,-2,0,2,-1,no
0,6,-6,7,-4,-7,-6,2,3,no
-2,-5,-13,1,3,8,6,1,3,no
3,4,-5,0,3,6,-2,8,-2,yes
0,20,-7,16,0,-5,-15,9,-2,yes
1,12,-2,16,4,-1,2,-4,1,yes
0,18,4,-9,-2,-6,-11,-1,-3,yes
3,-6,-4,8,14,-2,-7,-6,0,yes
2,9,-8,-1,-1,-2,-10,4,-1,yes
-2,-3,-2,0,-1,4,-4,1,-2,no
0,12,4,-2,6,4,-1,-4,-2,no
-1,10,-5,12,1,12,-18,6,-1,yes
2,12,0,0,-4,5,-4,7,0,yes
0,4,2,-6,1,8,10,3,0,no
0,-7,-7,14,1,-1,-10,1,2,no
3,-7,-2,-6,-1,-6,0,-4,-6,yes
-1,8,-5,12,-1,-6,5,5,1,no
2,2,11,6,0,-3,15,3,1,yes
3,1,-4,-2,7,3,-7,5,-1,yes
1,10,6,-5,0,0,-14,4,0,yes
-1,-1,2,4,2,1,-12,0,-2,no
-4,8,-5,-5,-2,-7,19,0,1,no
-2,13,-6,4,2,-12,7,0,2,no
1,-4,6,-5,0,6,3,-8,0,no
1,-3,2,5,3,6,-28,6,1,yes
-1,7,2,6,-3,-3,5,6,1,no
0,10,3,6,3,3,-10,6,0,no
-4,6,3,-1,4,4,3,11,-2,no
3,28,2,-3,-2,3,-2,11,-5,yes
3,-6,5,-7,1,1,0,2,0,yes
0,12,-2,4,1,4,3,1,-1,no
0,12,-4,0,0,-3,6,12,-1,no
5,-9,7,-8,12,2,-2,-6,3,yes
2,-9,1,-9,-2,3,5,-2,0,yes
-1,18,-8,6,4,1,4,1,-1,no
3,-7,-2,-1,9,0,-1,4,0,yes
3,-12,-8,7,4,11,-15,-2,-1,yes
1,-14,11,-16,0,2,1,-3,-1,yes
0,-10,4,-12,0,4,-7,2,0,yes
4,1,2,4,0,1,7,0,-2,yes
1,15,8,-3,0,-1,-2,-3,0,no
-2,3,-6,1,5,-8,15,2,1,no
-1,0,5,-3,1,2,-3,-10,2,no
2,10,-10,0,7,0,2,13,1,yes
-2,11,0,3,4,5,1,4,3,no
2,6,-7,-1,7,2,5,-4,-2,yes
-2,6,4,7,-9,-2,9,-3,0,no
-1,-20,8,-6,6,-3,9,-12,3,no
