Goal,Shot,Blocked Shot,Faceoff,Takeaway,Giveaway,Hit,Missed Shot,Penalty,won
7,29,5,31,2,6,14,9,3,yes
1,22,8,17,3,20,13,10,3,no
3,22,11,25,4,15,17,10,4,yes
5,19,20,29,7,2,10,11,4,yes
2,28,6,26,3,5,13,14,2,no
2,21,15,31,7,10,26,12,7,yes
1,18,14,20,3,5,22,13,4,no
1,26,4,23,0,3,20,6,3,no
2,28,6,19,0,3,23,13,2,yes
1,20,17,23,6,4,25,14,3,no
2,34,15,35,1,11,37,8,1,yes
2,24,15,23,8,1,28,6,4,no
5,31,17,27,6,8,19,6,2,yes
4,22,11,21,3,10,30,12,2,no
4,28,20,28,3,12,16,14,3,no
2,24,10,17,7,8,15,9,4,no
2,31,8,25,5,8,22,13,3,yes
5,13,13,18,9,13,16,9,5,yes
1,32,4,35,11,17,17,19,3,no
3,28,10,20,3,9,27,17,1,no
3,19,10,20,3,7,19,12,1,yes
4,24,14,21,9,17,18,13,4,yes
2,29,16,37,6,16,31,10,3,no
2,28,18,22,3,8,24,8,5,yes
1,33,9,35,4,16,26,15,2,no
0,26,9,24,8,8,25,8,4,no
5,25,13,24,10,21,16,15,3,yes
4,23,9,30,3,11,12,12,4,no
6,22,16,33,6,11,20,9,6,yes
0,25,5,23,2,5,9,10,6,no
3,23,13,24,9,8,10,4,5,yes
1,22,15,23,6,13,29,10,5,no
1,29,4,30,5,12,30,10,3,no
5,13,8,21,7,9,9,19,1,yes
4,31,12,19,7,9,18,13,3,no
3,34,11,26,8,2,24,6,4,yes
1,32,6,26,12,6,25,6,3,no
6,19,7,32,9,3,22,10,5,yes
4,15,10,24,2,13,24,6,3,no
1,29,4,21,7,19,34,15,2,no
4,14,17,26,10,17,28,6,3,yes
2,26,16,19,1,2,15,7,3,no
5,15,12,27,5,5,17,7,4,yes
1,30,14,26,2,6,15,8,4,yes
1,28,6,26,5,15,12,11,5,no
3,28,13,30,3,3,25,16,2,no
4,28,9,23,2,5,26,8,4,yes
2,19,15,24,10,12,26,10,3,no
2,27,14,29,10,8,22,14,5,no
2,25,10,17,7,6,24,10,2,yes
0,29,18,25,11,10,24,4,0,no
2,22,11,40,6,3,19,16,2,no
3,18,18,26,6,9,19,6,1,yes
2,30,16,28,5,7,10,9,6,yes
